"Variety","Term","Median","SD","CI_low","CI_high","OR_med","p_dir","sig"
"Kalderaš","(Intercept)",-1.587,0.596,-2.893,-0.543,0.204,0.001,"**"
"Kalderaš","FormerRhotic_fRetroflex",3.959,0.847,2.422,5.745,52.388,1,"**"
"Kalderaš","PhonCont_fFinal",0.837,0.688,-0.478,2.25,2.308,0.892,""
"Kalderaš","PhonCont_fFinal:FormerRhotic_fRetroflex",-2.824,1.182,-5.151,-0.461,0.059,0.01,"**"
"Kalderaš","PhonCont_fIntervocalic",-2.995,1.114,-5.407,-1.048,0.05,0.002,"**"
"Kalderaš","PhonCont_fIntervocalic:FormerRhotic_fRetroflex",1.814,1.271,-0.52,4.465,6.138,0.934,"."
