"Variety","Term","Median","SD","CI_low","CI_high","OR_med","p_dir","sig"
"Kalderaš","(Intercept)",0.226,0.481,-0.838,1.081,1.254,0.689,""
"Kalderaš","OriginUltraAggregate_fEU",-1.977,1.049,-4.215,-0.059,0.139,0.021,"**"
"Kalderaš","PhonCont_fFinal",-0.942,0.64,-2.244,0.325,0.39,0.07,"."
"Kalderaš","PhonCont_fFinal:OriginUltraAggregate_fEU",1.602,1.75,-1.968,4.95,4.965,0.819,""
"Kalderaš","PhonCont_fIntervocalic",-1.622,0.58,-2.838,-0.521,0.198,0.003,"**"
"Kalderaš","PhonCont_fIntervocalic:OriginUltraAggregate_fEU",-0.646,1.472,-3.697,2.063,0.524,0.324,""
