"Variety","Term","Median","SD","CI_low","CI_high","OR_med","p_dir","sig"
"All varieties","(Intercept)",-2.997,0.395,-3.93,-2.334,0.05,0,"**"
"All varieties","PhonCont_fFinal",2.689,0.385,2.001,3.521,14.71,1,"**"
"All varieties","PhonCont_fInitial",2.396,0.352,1.755,3.141,10.979,1,"**"
"All varieties","Variety_fKalajdzi",-0.488,0.342,-1.159,0.177,0.614,0.076,"."
"All varieties","Variety_fKaldaras",0.614,0.322,0.015,1.299,1.849,0.977,"**"
