"Variety","Term","Median","SD","CI_low","CI_high","p_dir","sig"
"Kaldaras","(Intercept)",-0.746,0.099,-0.942,-0.551,0,"**"
"Kaldaras","FormerRhotic_fRetroflex",0.972,0.175,0.627,1.315,1,"**"
"Kaldaras","PhonCont_fFinal",1.121,0.153,0.82,1.421,1,"**"
"Kaldaras","PhonCont_fFinal:FormerRhotic_fRetroflex",-0.709,0.349,-1.403,-0.02,0.022,"**"
"Kaldaras","PhonCont_fInitial",0.672,0.189,0.297,1.041,1,"**"
"Kaldaras","PhonCont_fInitial:FormerRhotic_fRetroflex",0.395,0.268,-0.132,0.931,0.933,"."
