"Variety","Term","Median","SD","CI_low","CI_high","OR_med","p_dir","sig"
"Kaldaras","(Intercept)",-1.447,0.449,-2.497,-0.711,0.235,0,"**"
"Kaldaras","OriginUltraAggregate_fEU",-2.001,0.999,-4.125,-0.246,0.135,0.01,"**"
"Kaldaras","PhonCont_fFinal",0.68,0.595,-0.518,1.861,1.973,0.878,""
"Kaldaras","PhonCont_fFinal:OriginUltraAggregate_fEU",1.625,1.76,-1.862,5.112,5.079,0.821,""
"Kaldaras","PhonCont_fInitial",1.763,0.604,0.65,3.025,5.828,0.999,"**"
"Kaldaras","PhonCont_fInitial:OriginUltraAggregate_fEU",-0.735,1.47,-3.703,2.141,0.48,0.309,""
