"Variety","Term","Median","SD","CI_low","CI_high","p_dir","sig"
"Burgudzi","(Intercept)",-0.457,0.077,-0.612,-0.307,0,"**"
"Burgudzi","OriginUltraAggregate_fEU",-0.094,0.167,-0.422,0.239,0.284,""
"Burgudzi","PhonCont_fFinal",1.223,0.172,0.878,1.558,1,"**"
"Burgudzi","PhonCont_fFinal:OriginUltraAggregate_fEU",0.167,0.372,-0.561,0.885,0.661,""
"Burgudzi","PhonCont_fInitial",1.113,0.132,0.855,1.376,1,"**"
"Burgudzi","PhonCont_fInitial:OriginUltraAggregate_fEU",0.145,0.333,-0.511,0.794,0.676,""
