"Variety","Term","Median","SD","CI_low","CI_high","p_dir","sig"
"Burgudzi","(Intercept)",-0.561,0.09,-0.738,-0.381,0,"**"
"Burgudzi","FormerRhotic_fRetroflex",0.342,0.161,0.027,0.657,0.982,"**"
"Burgudzi","PhonCont_fFinal",1.319,0.184,0.962,1.677,1,"**"
"Burgudzi","PhonCont_fFinal:FormerRhotic_fRetroflex",-0.367,0.63,-1.592,0.877,0.281,""
"Burgudzi","PhonCont_fInitial",0.942,0.186,0.584,1.314,1,"**"
"Burgudzi","PhonCont_fInitial:FormerRhotic_fRetroflex",0.119,0.263,-0.403,0.637,0.68,""
