"Variety","Term","Median","SD","CI_low","CI_high","p_dir","sig"
"Kalajdzi","(Intercept)",-0.46,0.1,-0.656,-0.269,0,"**"
"Kalajdzi","FormerRhotic_fRetroflex",-0.137,0.19,-0.503,0.237,0.241,""
"Kalajdzi","PhonCont_fFinal",1.633,0.162,1.319,1.959,1,"**"
"Kalajdzi","PhonCont_fFinal:FormerRhotic_fRetroflex",-0.165,0.432,-1.011,0.68,0.349,""
"Kalajdzi","PhonCont_fInitial",1.019,0.261,0.508,1.548,1,"**"
"Kalajdzi","PhonCont_fInitial:FormerRhotic_fRetroflex",0.447,0.38,-0.296,1.2,0.885,""
