"Variety","Term","Median","SD","CI_low","CI_high","p_dir","sig"
"Kaldaras","(Intercept)",-0.434,0.096,-0.618,-0.242,0,"**"
"Kaldaras","OriginUltraAggregate_fEU",-0.287,0.198,-0.666,0.104,0.079,"."
"Kaldaras","PhonCont_fFinal",0.847,0.162,0.532,1.165,1,"**"
"Kaldaras","PhonCont_fFinal:OriginUltraAggregate_fEU",0.641,0.499,-0.318,1.621,0.905,"."
"Kaldaras","PhonCont_fInitial",1.057,0.161,0.732,1.371,1,"**"
"Kaldaras","PhonCont_fInitial:OriginUltraAggregate_fEU",-0.176,0.349,-0.853,0.503,0.305,""
