"Variety","Term","Median","SD","CI_low","CI_high","p_dir","sig"
"Burgudži","(Intercept)",-0.599,0.066,-0.732,-0.473,0,"**"
"Burgudži","FormerRhotic_fRetroflex",0.186,0.103,-0.013,0.39,0.967,"*"
"Burgudži","PhonCont_fFinal",0.405,0.157,0.094,0.71,0.996,"**"
"Burgudži","PhonCont_fInitial",0.569,0.116,0.333,0.799,1,"**"
"Burgudži","RhoticType_fTRILL+",1.568,0.135,1.304,1.828,1,"**"
