"Variety","Term","Median","SD","CI_low","CI_high","p_dir","sig"
"Kalderaš","(Intercept)",-0.707,0.081,-0.864,-0.551,0,"**"
"Kalderaš","OriginUltraAggregate_fEU",-0.098,0.141,-0.371,0.177,0.251,""
"Kalderaš","PhonCont_fFinal",0.748,0.128,0.501,1.001,1,"**"
"Kalderaš","PhonCont_fInitial",0.691,0.124,0.444,0.933,1,"**"
"Kalderaš","RhoticType_fTRILL+",1.196,0.113,0.982,1.42,1,"**"
